id,coordinates/0,coordinates/1,status
LINK-000331,-73.972326,40.753899,active
LINK-000333,-73.97218,40.754092,active
LINK-000334,-73.97187609,40.75451175,active
LINK-000335,-73.97103228,40.75523348,active
LINK-000336,-73.97102968,40.75587721,active
LINK-000337,-73.97125096,40.75535623,active
LINK-000338,-73.9701433,40.75632633,active
LINK-000339,-73.97011147,40.75650489,active
LINK-000340,-73.96981621,40.75691135,active
LINK-000341,-73.97047,40.756577,installed
LINK-000342,-73.97008839,40.75711322,installed
LINK-000344,-73.96961496,40.75772905,active
LINK-000346,-73.96943631,40.75785145,active
LINK-000349,-73.96895056,40.7585484,active
LINK-000350,-73.968727,40.758993,active
LINK-000351,-73.9687589,40.75837712,active
LINK-000352,-73.96841698,40.75881998,active
LINK-000355,-73.968242,40.75961,active
LINK-000357,-73.968048,40.759756,active
LINK-000359,-73.96756751,40.76000519,active
LINK-000360,-73.96782751,40.75963164,active
LINK-000361,-73.9677744,40.76013485,active
LINK-000362,-73.96730567,40.76034713,active
LINK-000363,-73.9675385,40.76045676,active
LINK-000364,-73.96710117,40.76064429,active
LINK-000365,-73.96677926,40.76148352,active
LINK-000366,-73.96707578,40.76109516,active
LINK-000369,-73.9663883,40.76160412,active
LINK-000371,-73.98148039,40.74148709,active
LINK-000374,-73.982886,40.738827,active
LINK-000375,-73.979721,40.766148,active
LINK-000398,-73.97719468,40.76451317,active
LINK-000419,-73.98389868,40.75495098,active
LINK-000444,-74.001807,40.740531,active
LINK-000447,-74.00259998,40.73944747,active
LINK-000448,-74.00137,40.741123,active
LINK-000449,-74.00150114,40.74137338,active
LINK-000450,-74.00132086,40.74162142,active
LINK-000451,-74.001088,40.74151,active
LINK-000452,-74.00071086,40.74204648,active
LINK-000453,-74.00094,40.742297,active
LINK-000457,-74.000238,40.742689,active
LINK-000458,-73.982247,40.767271,active
LINK-000462,-73.99989422,40.7435787,active
LINK-000463,-73.9996452,40.74391929,active
LINK-000464,-73.99939787,40.74426003,active
LINK-000465,-73.998993,40.744403,active
LINK-000466,-73.99915958,40.74458405,active
LINK-000468,-73.998736,40.74475,active
LINK-000469,-73.996434,40.747905,active
LINK-000471,-73.99852935,40.74503873,active
LINK-000472,-73.985061,40.763424,active
LINK-000473,-73.99861909,40.74544348,active
LINK-000475,-73.989409,40.757544,active
LINK-000480,-73.989252,40.757753,active
LINK-000483,-73.99775661,40.74592407,active
LINK-000484,-73.98309182,40.76663812,active
LINK-000486,-73.98315529,40.76693979,active
LINK-000487,-73.98285321,40.76696325,active
LINK-000489,-73.99233961,40.75413992,active
LINK-000491,-73.98583017,40.76305136,active
LINK-000493,-73.99712687,40.74737717,active
LINK-000496,-73.995553,40.749122,active
